,code,name,date,weight
149,600111,北方稀土,2015-07-01,0.34
150,600115,东方航空,2015-07-01,0.34
151,600118,中国卫星,2015-07-01,0.28
152,600150,中国船舶,2015-07-01,0.29
153,600153,建发股份,2015-07-01,0.27
154,600157,永泰能源,2015-07-01,0.19
155,600166,福田汽车,2015-07-01,0.12
156,600170,上海建工,2015-07-01,0.14
157,600177,雅戈尔,2015-07-01,0.25
158,600188,兖州煤业,2015-07-01,0.04
159,600196,复星医药,2015-07-01,0.29
160,600208,新湖中宝,2015-07-01,0.15
161,600221,海南航空,2015-07-01,0.31
162,600252,中恒集团,2015-07-01,0.2
163,600256,广汇能源,2015-07-01,0.28
164,600271,航天信息,2015-07-01,0.33
165,600276,恒瑞医药,2015-07-01,0.48
166,600277,亿利能源,2015-07-01,0.14
167,600309,万华化学,2015-07-01,0.22
168,600315,上海家化,2015-07-01,0.2
169,600316,洪都航空,2015-07-01,0.12
170,600317,营口港,2015-07-01,0.11
171,600332,白云山,2015-07-01,0.17
172,600340,华夏幸福,2015-07-01,0.28
173,600348,阳泉煤业,2015-07-01,0.1
174,600352,浙江龙盛,2015-07-01,0.29
175,600362,江西铜业,2015-07-01,0.15
176,600369,西南证券,2015-07-01,0.24
177,600372,中航电子,2015-07-01,0.15
178,600373,中文传媒,2015-07-01,0.13
179,600383,金地集团,2015-07-01,0.25
180,600398,海澜之家,2015-07-01,0.22
181,600406,国电南瑞,2015-07-01,0.25
182,600415,小商品城,2015-07-01,0.38
183,600485,信威集团,2015-07-01,0.05
184,600489,中金黄金,2015-07-01,0.16
185,600497,驰宏锌锗,2015-07-01,0.12
186,600516,方大炭素,2015-07-01,0.1
187,600518,康美药业,2015-07-01,0.51
188,600519,贵州茅台,2015-07-01,1.07
189,600535,天士力,2015-07-01,0.29
190,600547,山东黄金,2015-07-01,0.15
191,600549,厦门钨业,2015-07-01,0.09
192,600570,恒生电子,2015-07-01,0.45
193,600578,京能电力,2015-07-01,0.1
194,600583,海油工程,2015-07-01,0.33
195,600585,海螺水泥,2015-07-01,0.37
196,600588,用友网络,2015-07-01,0.29
197,600597,光明乳业,2015-07-01,0.12
198,600600,青岛啤酒,2015-07-01,0.14
199,600633,浙报传媒,2015-07-01,0.1
200,600637,百视通,2015-07-01,0.45
201,600642,申能股份,2015-07-01,0.2
202,600648,外高桥,2015-07-01,0.08
203,600649,城投控股,2015-07-01,0.14
204,600660,福耀玻璃,2015-07-01,0.17
205,600663,陆家嘴,2015-07-01,0.17
206,600674,川投能源,2015-07-01,0.23
207,600688,上海石化,2015-07-01,0.22
208,600690,青岛海尔,2015-07-01,0.39
209,600703,三安光电,2015-07-01,0.39
210,600705,中航资本,2015-07-01,0.42
211,600717,天津港,2015-07-01,0.1
212,600718,东软集团,2015-07-01,0.15
213,600739,辽宁成大,2015-07-01,0.24
214,600741,华域汽车,2015-07-01,0.19
215,600783,鲁信创投,2015-07-01,0.09
216,600795,国电电力,2015-07-01,0.57
217,600804,鹏博士,2015-07-01,0.27
218,600809,山西汾酒,2015-07-01,0.06
219,600827,百联股份,2015-07-01,0.14
220,600837,海通证券,2015-07-01,1.52
221,600839,四川长虹,2015-07-01,0.31
222,600863,内蒙华电,2015-07-01,0.19
223,600867,通化东宝,2015-07-01,0.16
224,600873,梅花生物,2015-07-01,0.16
225,600875,东方电气,2015-07-01,0.21
226,600886,国投电力,2015-07-01,0.46
227,600887,伊利股份,2015-07-01,1.0
228,600893,中航动力,2015-07-01,0.25
229,600900,长江电力,2015-07-01,0.64
230,600958,东方证券,2015-07-01,0.25
231,600998,九州通,2015-07-01,0.06
232,600999,招商证券,2015-07-01,0.52
233,601006,大秦铁路,2015-07-01,0.72
234,601009,南京银行,2015-07-01,0.38
235,601018,宁波港,2015-07-01,0.28
236,601021,春秋航空,2015-07-01,0.14
237,601088,中国神华,2015-07-01,0.35
238,601098,中南传媒,2015-07-01,0.15
239,601099,太平洋,2015-07-01,0.28
240,601106,中国一重,2015-07-01,0.27
241,601111,中国国航,2015-07-01,0.36
242,601117,中国化学,2015-07-01,0.16
243,601118,海南橡胶,2015-07-01,0.1
244,601158,重庆水务,2015-07-01,0.05
245,601166,兴业银行,2015-07-01,1.72
246,601168,西部矿业,2015-07-01,0.17
247,601169,北京银行,2015-07-01,0.97
248,601179,中国西电,2015-07-01,0.18
249,601186,中国铁建,2015-07-01,0.41
250,601216,内蒙君正,2015-07-01,0.13
251,601225,陕西煤业,2015-07-01,0.14
252,601231,环旭电子,2015-07-01,0.03
253,601258,庞大集团,2015-07-01,0.15
254,601288,农业银行,2015-07-01,0.86
255,601318,中国平安,2015-07-01,3.87
256,601328,交通银行,2015-07-01,1.47
257,601333,广深铁路,2015-07-01,0.23
258,601336,新华保险,2015-07-01,0.43
259,601377,兴业证券,2015-07-01,0.49
260,601390,中国中铁,2015-07-01,0.77
261,601398,工商银行,2015-07-01,1.13
262,601555,东吴证券,2015-07-01,0.23
263,601600,中国铝业,2015-07-01,0.34
264,601601,中国太保,2015-07-01,0.81
265,601607,上海医药,2015-07-01,0.18
266,601618,中国中冶,2015-07-01,0.29
267,601628,中国人寿,2015-07-01,0.45
268,601633,长城汽车,2015-07-01,0.16
269,601668,中国建筑,2015-07-01,1.07
270,601669,中国电建,2015-07-01,0.39
271,601688,华泰证券,2015-07-01,0.64
272,601699,潞安环能,2015-07-01,0.1
273,601727,上海电气,2015-07-01,0.38
274,601766,中国中车,2015-07-01,1.42
275,601788,光大证券,2015-07-01,0.3
276,601800,中国交建,2015-07-01,0.22
277,601808,中海油服,2015-07-01,0.14
278,601818,光大银行,2015-07-01,0.93
279,601857,中国石油,2015-07-01,0.47
280,601866,中海集运,2015-07-01,0.27
281,601888,中国国旅,2015-07-01,0.24
282,601898,中煤能源,2015-07-01,0.17
283,601899,紫金矿业,2015-07-01,0.42
284,601901,方正证券,2015-07-01,0.42
285,601919,中国远洋,2015-07-01,0.33
286,601928,凤凰传媒,2015-07-01,0.11
287,601929,吉视传媒,2015-07-01,0.11
288,601933,永辉超市,2015-07-01,0.2
289,601939,建设银行,2015-07-01,0.56
290,601958,金钼股份,2015-07-01,0.09
291,601969,海南矿业,2015-07-01,0.03
292,601988,中国银行,2015-07-01,1.0
293,601989,中国重工,2015-07-01,1.11
294,601991,大唐发电,2015-07-01,0.2
295,601992,金隅股份,2015-07-01,0.11
296,601998,中信银行,2015-07-01,0.21
297,603000,人民网,2015-07-01,0.12
298,603288,海天味业,2015-07-01,0.07
299,603993,洛阳钼业,2015-07-01,0.03
